A,B,C,Desc
-0.02,-0.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.44,-2.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.38,-1.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.05,-2.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.76,-2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.42,-1.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.41,-1.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.53,3.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.35,3.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.02,-2.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.63,-1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.57,1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.72,-3.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.59,0.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.96,2.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,-1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.33,-1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.92,3.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.21,-0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.88,-1.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,2.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.4,3.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.98,-1.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,-0.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.18,-2.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.17,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.48,-1.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.03,-0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.01,3.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.04,-0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.95,-2.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.9,-3.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.39,4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.55,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.81,-3.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.47,-1.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.33,0.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.01,0.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.55,0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.76,-0.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.05,-3.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.8,-3.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.19,-2.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.19,2.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.79,3.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.1,2.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.96,-1.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.32,1.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.23,1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.48,-2.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.13,2.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,3.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.47,1.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.41,0.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.32,-3.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.24,-0.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.82,1.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.48,3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.31,-0.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,3.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.27,-0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.07,3.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.09,-2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.27,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.3,3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.74,-3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.93,-0.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.73,-3.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.2,-1.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,1.92,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.02,3.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.63,0.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.44,1.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.13,0.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.68,1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.89,3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.28,0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.38,-1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.68,-2.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.9,1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.27,-3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.02,2.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.52,-0.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.15,2.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.49,-3.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.27,-1.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.5,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.99,3.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.81,1.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.81,-3.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.19,-2.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.48,0.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.68,-2.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.8,-3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.28,-0.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.91,-0.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.33,1.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.13,0.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1,-3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.49,-0.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,2.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.12,-3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.36,-2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.14,-1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.21,3.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.43,3.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.74,2.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.97,3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.34,1.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.19,-0.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.12,1.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.04,0.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.39,-0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.6,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.43,-0.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.87,1.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.9,1.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.18,3.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.16,2.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.11,0.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.45,-3.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.31,-0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.03,-1.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.99,1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.59,0.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.62,-1.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.44,-0.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.06,1.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.44,-2.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.31,2.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.48,2.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.32,-3.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.54,-0.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.35,0.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.18,3.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.31,-1.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.5,3.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.55,0.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.5,-2.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.34,1.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.4,-1.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.3,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.07,1.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.23,0.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.34,2.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.08,0.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.42,-3.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.18,-3.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.14,-1.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.21,-2.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.97,2.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.9,1.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.08,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.48,2.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.01,3.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.48,3.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.67,-0.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,-0.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.09,-3.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.96,-0.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.42,-1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.93,-1.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.59,-1.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.92,3.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.35,-1.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.35,2.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.61,-3.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.29,-0.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.17,3.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.5,-1.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.34,-1.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.1,-3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.55,0.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.47,-1.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.71,-0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.69,-3.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.27,-0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.1,-0.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.03,-0.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.1,3.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.61,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.73,3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.23,-0.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.45,-1.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.35,-1.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.38,-3.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.24,1.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.24,-0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.26,-1.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.6,2.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.05,-1.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.93,0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.39,-0.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.47,1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.18,-0.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.84,3.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.21,-2.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.95,2.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.04,-0.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.43,0.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.04,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.61,-1.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.26,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.48,1.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.18,-2.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.57,-2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,2.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.53,-1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,-3.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.9,-1.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.37,2.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.6,-3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,3.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.05,-0.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.31,3.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.32,1.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.17,1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.14,0.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.95,0.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.42,-0.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.51,3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,-1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.39,-0.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.5,-2.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.41,-0.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.28,-0.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.42,1.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.31,-0.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.38,-0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.04,2.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.86,3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.21,-1.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,-1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.58,-2.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.56,-0.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.02,-3.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.18,2.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.61,-3.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.24,2.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.55,0.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.08,-0.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.62,0.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.14,-3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.13,-2.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.16,3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.56,-0.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.47,2.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.4,-3.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.86,1.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.34,0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.97,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.55,-1.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.05,-1.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.2,-2.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,2.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.88,0.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.45,3.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.11,-1.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.7,-2.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.3,-2.92,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.44,0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.28,3.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.38,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.1,0.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.46,-3.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.29,-2.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.1,3.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.37,0.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.73,2.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.09,1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.25,3.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.25,1.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.85,2.48,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.37,-1.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.47,2.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.41,2.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.76,2.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.1,3.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.81,-3.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.8,-0.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.29,0.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.83,-3.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.16,3.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.13,1.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.4,-2.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.39,-1.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.26,-0.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.65,2.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.65,-3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.18,-3.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.1,0.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.42,-3.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.34,2.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.26,1.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.96,0.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.12,-2.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.89,2.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.2,-1.48,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.24,-2.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.69,-2.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.02,0.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.96,-3.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.67,3.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.63,1.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.92,-3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.01,-1.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.88,-0.92,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.52,2.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.52,-3.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.77,3.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.62,2.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.11,-2.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.82,-0.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.16,-1.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.87,0.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.5,-1.88,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,3.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.81,-2.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.16,-2.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.72,-2.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
