A,B,C,Desc,Answer
1.82,1.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 87
0.48,3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 88
-0.31,-0.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 89
1.64,3.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 90
0.27,-0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 91
-0.07,3.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 92
0.09,-2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 93
-0.27,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 94
1.3,3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 95
0.74,-3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 96
0.93,-0.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 97
1.73,-3.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 98
-0.2,-1.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 99
0.52,1.92,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 100
0.02,3.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 101
1.63,0.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 102
0.44,1.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 103
1.13,0.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 104
1.68,1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 105
0.89,3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 106
0.28,0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 107
-0.38,-1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 108
1.68,-2.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 109
1.9,1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 110
1.27,-3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 111
-0.02,2.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 112
1.52,-0.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 113
1.15,2.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 114
1.49,-3.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 115
1.27,-1.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 116
1.5,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 117
0.99,3.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 118
0.81,1.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 119
0.81,-3.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 120
1.19,-2.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 121
0.48,0.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 122
1.68,-2.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 123
1.8,-3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 124
1.28,-0.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 125
1.91,-0.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 126
1.33,1.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 127
1.64,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 128
0.13,0.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 129
1,-3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 130
1.49,-0.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 131
0.52,2.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 132
-0.12,-3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 133
0.36,-2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 134
0.14,-1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 135
-0.21,3.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 136
1.43,3.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 137
0.74,2.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 138
0.97,3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 139
0.34,1.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 140
-0.19,-0.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 141
1.12,1.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 142
-0.04,0.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 143
-0.39,-0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 144
1.6,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 145
1.43,-0.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 146
0.87,1.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 147
0.9,1.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 148
1.18,3.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 149
-0.16,2.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 150
-0.11,0.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 151
1.45,-3.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 152
-0.31,-0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 153
1.03,-1.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 154
1.99,1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 155
0.59,0.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 156
0.62,-1.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 157
-0.44,-0.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 158
1.06,1.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 159
-0.44,-2.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 160
-0.31,2.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 161
-0.48,2.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 162
-0.32,-3.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 163
1.54,-0.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 164
-0.35,0.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 165
0.18,3.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 166
-0.31,-1.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 167
1.5,3.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 168
0.55,0.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 169
-0.5,-2.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 170
0.34,1.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 171
-0.4,-1.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 172
1.3,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 173
-0.07,1.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 174
0.23,0.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 175
0.34,2.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 176
0.08,0.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 177
-0.42,-3.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 178
1.18,-3.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 179
1.14,-1.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 180
-0.21,-2.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 181
1.97,2.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 182
0.9,1.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 183
-0.08,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 184
1.48,2.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 185
-0.01,3.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 186
-0.48,3.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 187
0.67,-0.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 188
1.64,-0.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 189
0.09,-3.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 190
0.96,-0.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 191
1.42,-1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 192
1.93,-1.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 193
0.59,-1.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 194
1.92,3.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 195
0.35,-1.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 196
1.35,2.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 197
0.61,-3.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 198
1.29,-0.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 199
1.17,3.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 200
0.5,-1.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 201
0.34,-1.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 202
1.1,-3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 203
0.55,0.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 204
-0.47,-1.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 205
0.71,-0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 206
0.69,-3.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 207
-0.27,-0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 208
0.1,-0.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 209
-0.03,-0.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 210
0.1,3.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 211
1.61,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 212
0.73,3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 213
-0.23,-0.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 214
-0.45,-1.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 215
-0.35,-1.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 216
-0.38,-3.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 217
1.24,1.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 218
1.24,-0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 219
-0.26,-1.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 220
0.6,2.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 221
1.05,-1.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 222
0.93,0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 223
0.39,-0.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 224
-0.47,1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 225
-0.18,-0.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 226
0.84,3.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 227
0.21,-2.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 228
1.95,2.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 229
1.04,-0.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 230
-0.43,0.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 231
-0.04,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 232
1.61,-1.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 233
0.26,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 234
-0.48,1.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 235
0.18,-2.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 236
0.57,-2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 237
0.52,2.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 238
0.53,-1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 239
0.52,-3.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 240
1.9,-1.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 241
-0.37,2.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 242
1.6,-3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 243
0.52,3.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 244
1.05,-0.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 245
1.31,3.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 246
1.32,1.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 247
-0.17,1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 248
1.14,0.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 249
0.95,0.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 250
-0.42,-0.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 251
1.51,3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 252
0.15,-1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 253
-0.39,-0.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 254
0.5,-2.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 255
1.41,-0.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 256
0.28,-0.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 257
0.42,1.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 258
1.31,-0.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 259
-0.38,-0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 260
0.04,2.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 261
0.86,3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 262
-0.21,-1.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 263
0.52,-1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 264
1.58,-2.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 265
0.56,-0.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 266
-0.02,-3.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 267
1.18,2.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 268
0.61,-3.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 269
0.24,2.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 270
1.55,0.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 271
1.08,-0.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 272
1.62,0.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 273
1.14,-3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 274
-0.13,-2.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 275
0.16,3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 276
0.56,-0.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 277
0.47,2.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 278
1.4,-3.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 279
0.86,1.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 280
-0.34,0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 281
0.97,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 282
1.98,4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 283
0.55,-1.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 284
0.05,-1.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 285
-0.2,-2.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 286
1.98,2.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 287
1.88,0.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 288
1.45,3.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 289
-0.11,-1.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 290
1.7,-2.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 291
0.3,-2.92,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 292
-0.44,0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 293
0.28,3.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 294
0.38,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 295
1.1,0.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 296
0.46,-3.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 297
1.29,-2.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 298
0.1,3.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 299
0.37,0.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 300
1.73,2.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 301
0.09,1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 302
0.25,3.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 303
0.25,1.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 304
1.85,2.48,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 305
-0.37,-1.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 306
1.47,2.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 307
-0.41,2.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 308
0.76,2.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 309
-0.1,3.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 310
0.81,-3.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 311
1.8,-0.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 312
